x,y
灼,cheuk3
炆,man1
炒,chaau2
炩,ling3
焗,guk6
焫,naat3
焮,hing3
煙,yin1
照,jiu3
煨,wooi1
煲,bo1
燒,siu1
燕,yin3
燶,nung1
爆,baau3
爭,jaang1
爽,song2
牆,cheung4
片,pin2
牌,paai4
牙,nga4
犦,bok1
犯,faan2
狼,long4
猎,lip1
猛,maang5
獎,jeung2
玷,dim3
班,baan1
理,lei5
生,saang1
甩,lat1
由,yau2
畀,bei2
畫,waak6
疓,na1
痕,han4
痛,tung3
痺,bei3
瘀,yue2
癌,ngaam4
癐,gooi6
癱,taan1
的,dik1
皮,pei4
益,yik1
盒,hap6
盞,jaan2
盟,mang4
監,gaam1
盲,maang4
相,seung2
省,saang2
眼,ngaan5
睄,saau4
睇,tai2
督,duk1
睬,choi2
瞄,miu4
瞌,hap1
瞓,fan3
瞠,chaang3
矇,mung4
知,ji1
石,sek6
破,poh3
碗,woon2
碟,dip6
磅,bong4
禁,kam1
禾,woh4
秤,ching3
穀,guk1
積,jik1
窄,jaak3
窒,jat6
窗,cheung1
窿,lung1
竇,dau3
竹,juk1
笑,siu3
笠,lap1
笪,daat3
第,dai6
等,dang2
筍,sun2
篤,duk1
篸,chaam2
簽,chim1
簿,bo2
籃,laam4
籌,chau2
籠,lung4
籮,loh2
粉,fan2
粒,nap1
粥,juk1
粽,jung2
精,jeng1
糖,tong2
糝,sam2
糠,hong2
糧,leung4
紅,hung4
紙,ji2
紝,yam1
索,sok3
紮,jaat3
細,sai3
絨,yung2
緙,kwaak1
縱,jung3
繑,kiu5
織,jik1
繩,sing2
纈,lit3
纊,kwang3
缸,gong1
罅,la3
罉,chaang1
罌,ngaang1
罰,fat6
羅,loh4
翳,ngai3
翻,faan1
翼,yik6
耐,noi6
耨,nau6
耷,dap1
聯,luen4
聲,seng1
聽,ting3
肉,yuk6
肚,to5
肝,gon1
肥,fei4
肴,ngaau1
肺,fai3
肽,taai1
背,booi3
脫,tuet3
脷,lei6
腍,nam4
腎,san5
腱,jin2
腳,geuk3
膊,bok3
膠,gaau1
膶,yun2
臊,so1
至,ji3
舂,jung1
興,hing1
舐,lem2
舖,po3
舦,taai5
艃,lei5
茂,mau6
著,jeuk3
蒙,mung4
蒲,po4
蓋,goi3
蔗,je3
蔸,dau1
薦,jin3
薯,sue2
薳,yuen5
藭,kung1
藹,ngoi2
虎,foo2
處,sue3
蚊,man1
蛇,se4
蛾,ngoh4
蝕,sit6
蝦,ha1
螺,loh2
蟀,jut1
蟲,chung4
蟹,haai5
蟻,ngai5
蠍,hit3
蠔,ho4
蠢,chun2
行,haang4
衙,a4
衫,saam1
衰,sui1
袋,doi2
被,pei5
裏,lei5
裙,kwan4
裝,jong1
褦,nang3
褪,tan3
褲,foo3
褸,lau1
襪,mat6
襯,chan3
覘,daam1
解,gaai2
計,gai2
詐,ja3
話,wa6
諗,nam2
講,gong2
譖,cham3
識,sik1
讕,laan2
豁,goot6
豆,dau2
豹,paau3
貢,gung3
責,jaak3
賊,chaak6
賴,laai6
賺,jaan2
贊,jaan3
赤,chek3
走,jau2
起,hei2
趯,dek3
趲,jaan2
趷,gat6
跌,dit3
跛,bai1
跣,sin3
跴,yaai2
踎,mau1
踭,jaang1
蹺,kiu2
躀,gwaan3
躁,cho3
躉,dan2
躝,laan1
躽,yin2
車,che1
軚,taai5
較,gaau3
輪,lun4
轆,luk1
迆,he3
造,jo6
逼,bik1
遮,je1
遲,chi4
避,bei6
邊,bin1
都,do1
醜,chau2
