x,y
金,gam1
泔,gam1
敢,gam2
橄,gam2
錦,gam2
感,gam2
贛,gam3
噤,gam3
淦,gam3
跟,gan1
根,gan1
巾,gan1
斤,gan1
哏,gan1
筋,gan1
緊,gan2
謹,gan2
僅,gan2
饉,gan2
瑾,gan2
堇,gan2
艮,gan3
靳,gan3
覲,gan3
近,gan6
羹,gang1
庚,gang1
耿,gang2
亙,gang2
埂,gang2
哽,gang2
急,gap1
蛤,gap3
訖,gat1
紇,gat1
嘎,gat3
疙,gat6
佝,gau1
鬮,gau1
鳩,gau1
枸,gau2
苟,gau2
狗,gau2
久,gau2
九,gau2
玖,gau2
韭,gau2
糾,gau2
疚,gau3
咎,gau3
柩,gau3
究,gau3
灸,gau3
救,gau3
詬,gau3
垢,gau3
廄,gau3
夠,gau3
舊,gau6
基,gei1
乩,gei1
箕,gei1
肌,gei1
畸,gei1
姬,gei1
犄,gei1
磯,gei1
譏,gei1
嘰,gei1
覊,gei1
几,gei1
畿,gei1
璣,gei1
飢,gei1
己,gei2
杞,gei2
紀,gei2
寄,gei3
既,gei3
記,gei3
覬,gei3
妓,gei6
技,gei6
伎,gei6
芰,gei6
忌,gei6
殭,geung1
羌,geung1
疆,geung1
蜣,geung1
薑,geung1
韁,geung1
姜,geung1
僵,geung1
強,geung6
擊,gik1
棘,gik1
殛,gik1
亟,gik1
戟,gik1
極,gik6
搛,gim1
兼,gim1
鶼,gim1
瞼,gim2
檢,gim2
撿,gim2
劍,gim3
儉,gim6
犍,gin1
堅,gin1
肩,gin1
建,gin3
見,gin3
鍵,gin6
件,gin6
健,gin6
荊,ging1
兢,ging1
涇,ging1
經,ging1
矜,ging1
京,ging1
景,ging2
境,ging2
警,ging2
竟,ging2
儆,ging2
憬,ging2
璟,ging2
敬,ging3
徑,ging3
逕,ging3
競,ging6
痙,ging6
潔,git3
結,git3
桀,git6
傑,git6
驕,giu1
嬌,giu1
繳,giu2
矯,giu2
叫,giu3
轎,giu6
皋,go1
羔,go1
睾,go1
糕,go1
高,go1
膏,go1
鎬,go2
杲,go2
藁,go2
槁,go2
稿,go2
縞,go2
郜,go3
鋯,go3
誥,go6
歌,goh1
哥,goh1
仡,goh1
旮,goh1
菏,goh1
個,goh3
該,goi1
賅,goi1
改,goi2
咯,gok1
擱,gok3
各,gok3
角,gok3
干,gon1
竿,gon1
杆,gon1
乾,gon1
趕,gon2
桿,gon2
擀,gon2
幹,gon3
岡,gong1
綱,gong1
崗,gong1
剛,gong1
江,gong1
肛,gong1
罡,gong1
港,gong2
鋼,gong3
降,gong3
絳,gong3
軲,goo1
觚,goo1
菇,goo1
辜,goo1
孤,goo1
咕,goo1
姑,goo1
沽,goo1
蛄,goo1
鈷,goo2
鼓,goo2
股,goo2
牯,goo2
古,goo2
蠱,goo2
僱,goo3
錮,goo3
顧,goo3
故,goo3
固,goo3
倌,goon1
莞,goon1
觀,goon1
棺,goon1
冠,goon1
官,goon1
脘,goon2
館,goon2
管,goon2
貫,goon3
灌,goon3
罐,goon3
盥,goon3
鸛,goon3
葛,got3
割,got3
蠲,guen1
涓,guen1
娟,guen1
鵑,guen1
卷,guen2
捲,guen2
券,guen3
鄄,guen3
眷,guen3
絹,guen3
倦,guen6
据,gui1
居,gui1
矩,gui2
櫸,gui2
蒟,gui2
齲,gui2
舉,gui2
莒,gui2
據,gui3
踞,gui3
鋸,gui3
遽,gui6
炬,gui6
鉅,gui6
懼,gui6
巨,gui6
具,gui6
颶,gui6
詎,gui6
苣,gui6
轂,guk1
鵠,guk1
谷,guk1
鞠,guk1
梏,guk1
嚳,guk1
菊,guk1
局,guk6
鋦,guk6
攻,gung1
功,gung1
宮,gung1
公,gung1
躬,gung1
龔,gung1
弓,gung1
供,gung1
蚣,gung1
恭,gung1
珙,gung2
鞏,gung2
拱,gung2
瓜,gwa1
呱,gwa1
寡,gwa2
褂,gwa3
卦,gwa3
掛,gwa3
乖,gwaai1
柺,gwaai2
蒯,gwaai2
拐,gwaai2
鰥,gwaan1
關,gwaan1
摜,gwaan3
刮,gwaat3
颳,gwaat3
鮭,gwai1
皈,gwai1
硅,gwai1
圭,gwai1
歸,gwai1
瑰,gwai1
閨,gwai1
鬼,gwai2
軌,gwai2
詭,gwai2
晷,gwai2
桂,gwai3
癸,gwai3
貴,gwai3
季,gwai3
悸,gwai3
跪,gwai6
簣,gwai6
饋,gwai6
均,gwan1
鋆,gwan1
綸,gwan1
鯤,gwan1
筠,gwan1
錕,gwan1
鈞,gwan1
軍,gwan1
君,gwan1
珺,gwan6
郡,gwan6
肱,gwang1
訇,gwang1
轟,gwang1
薨,gwang1
橘,gwat1
崛,gwat6
虢,gwik1
隙,gwik1
迥,gwing2
炯,gwing2
戈,gwoh1
裹,gwoh2
果,gwoh2
過,gwoh3
郭,gwok3
膕,gwok3
國,gwok3
幗,gwok3
廓,gwok3
光,gwong1
桄,gwong1
胱,gwong1
獷,gwong2
誑,gwong2
廣,gwong2
哈,ha1
瑕,ha4
霞,ha4
遐,ha4
夏,ha6
暇,ha6
下,ha6
廈,ha6
揩,haai1
嗨,haai1
諧,haai4
骸,haai4
孩,haai4
駭,haai5
獬,haai5
械,haai6
懈,haai6
邂,haai6
赫,haak1
客,haak3
函,haam4
咸,haam4
銜,haam4
涵,haam4
檻,haam5
餡,haam6
陷,haam6
閒,haan4
癇,haan4
嫺,haan4
限,haan6
坑,haang1
夯,haang1
嗑,haap3
掐,haap3
柙,haap6
篋,haap6
狎,haap6
峽,haap6
匣,haap6
狹,haap6
俠,haap6
哮,haau1
敲,haau1
烤,haau1
考,haau2
巧,haau2
拷,haau2
孝,haau3
効,haau6
傚,haau6
效,haau6
兮,hai4
鼷,hai4
奚,hai4
繫,hai6
系,hai6
可,hak1
克,hak1
剋,hak1
刻,hak1
氪,hak1
勘,ham1
龕,ham1
戡,ham1
蚶,ham1
憨,ham1
坎,ham2
砍,ham2
磡,ham3
瞰,ham3
崁,ham3
嵌,ham3
酣,ham4
晗,ham4
含,ham4
頷,ham5
撼,ham6
憾,ham6
很,han2
懇,han2
墾,han2
狠,han2
恨,han6
鏗,hang1
哼,hang1
亨,hang1
莖,hang1
啃,hang2
肯,hang2
恆,hang4
衡,hang4
桁,hang4
杏,hang6
幸,hang6
悻,hang6
倖,hang6
洽,hap1
磕,hap6
闔,hap6
頜,hap6
檄,hat6
閡,hat6
劾,hat6
轄,hat6
瞎,hat6
齕,hat6
核,hat6
齁,hau1
喉,hau4
侯,hau4
篌,hau4
瘊,hau4
猴,hau4
厚,hau5
後,hau6
逅,hau6
鱟,hau6
候,hau6
后,hau6
烯,hei1
禧,hei1
熙,hei1
嬉,hei1
曦,hei1
犧,hei1
稀,hei1
羲,hei1
醯,hei1
欷,hei1
希,hei1
嘻,hei1
唏,hei1
嘿,hei1
熹,hei1
浠,hei1
欺,hei1
豈,hei2
囍,hei2
喜,hei2
憩,hei3
汽,hei3
棄,hei3
氣,hei3
器,hei3
吃,hek3
香,heung1
鄉,heung1
晌,heung2
享,heung2
響,heung2
餉,heung2
饗,heung2
向,heung3
嚮,heung3
謙,him1
險,him2
欠,him3
芡,him3
掀,hin1
騫,hin1
牽,hin1
軒,hin1
繾,hin2
譴,hin2
蜆,hin2
顯,hin2
遣,hin2
憲,hin3
獻,hin3
馨,hing1
兄,hing1
卿,hing1
氫,hing1
輕,hing1
罄,hing3
磬,hing3
慶,hing3
脛,hing5
協,hip3
歉,hip3
怯,hip3
脅,hip3
愜,hip6
歇,hit3
驍,hiu1
僥,hiu1
鴞,hiu1
囂,hiu1
梟,hiu1
澆,hiu1
橇,hiu1
竅,hiu3
蒿,ho1
薅,ho1
耗,ho3
犒,ho3
號,ho4
壕,ho4
嚎,ho4
毫,ho4
嗥,ho4
豪,ho4
昊,ho6
浩,ho6
灝,ho6
皓,ho6
呵,hoh1
苛,hoh1
訶,hoh1
岢,hoh2
嗬,hoh2
坷,hoh2
何,hoh4
荷,hoh4
賀,hoh6
開,hoi1
咍,hoi1
鐦,hoi1
愷,hoi2
鎧,hoi2
海,hoi2
塏,hoi2
剴,hoi2
闓,hoi2
凱,hoi2
害,hoi6
亥,hoi6
氦,hoi6
殼,hok3
貉,hok6
鶴,hok6
罕,hon2
侃,hon2
刊,hon2
看,hon3
漢,hon3
汗,hon4
韓,hon4
鼾,hon4
寒,hon4
邯,hon4
旱,hon5
翰,hon6
焊,hon6
瀚,hon6
悍,hon6
捍,hon6
誆,hong1
劻,hong1
腔,hong1
康,hong1
匡,hong1
眶,hong1
筐,hong1
慷,hong2
航,hong4
吭,hong4
杭,hong4
項,hong6
巷,hong6
喝,hot3
渴,hot3
褐,hot3
鞨,hot3
喧,huen1
暄,huen1
萱,huen1
圈,huen1
壎,huen1
畎,huen2
犬,huen2
綣,huen3
勸,huen3
絢,huen3
血,huet3
虛,hui1
盱,hui1
吁,hui1
噓,hui1
歔,hui1
許,hui2
栩,hui2
詡,hui2
煦,hui2
去,hui3
哭,huk1
槲,huk6
酷,huk6
匈,hung1
空,hung1
凶,hung1
箜,hung1
崆,hung1
胸,hung1
兇,hung1
洶,hung1
恐,hung2
孔,hung2
汞,hung3
哄,hung3
控,hung3
烘,hung3
鬨,hung3
雄,hung4
鴻,hung4
洪,hung4
熊,hung4
虹,hung4
訌,hung4
糌,ja1
吒,ja1
咱,ja1
齇,ja1
楂,ja1
乍,ja3
炸,ja3
咤,ja3
榨,ja3
蚱,ja3
膪,ja6
嵖,ja6
齎,jaai1
債,jaai3
寨,jaai6
眥,jaai6
嘖,jaak3
擇,jaak6
澤,jaak6
躑,jaak6
擲,jaak6
宅,jaak6
謫,jaak6
嶄,jaam2
蘸,jaam3
湛,jaam3
鏨,jaam6
站,jaam6
暫,jaam6
攢,jaan2
讚,jaan3
棧,jaan6
撰,jaan6
饌,jaan6
綻,jaan6
咂,jaap3
匝,jaap3
砸,jaap3
眨,jaap3
集,jaap6
什,jaap6
襲,jaap6
隰,jaap6
習,jaap6
扎,jaat3
鍘,jaat3
札,jaat3
拶,jaat3
嘲,jaau1
找,jaau2
爪,jaau2
罩,jaau3
躋,jai1
齏,jai1
劑,jai1
濟,jai2
霽,jai3
祭,jai3
際,jai3
製,jai3
昃,jak1
則,jak1
側,jak1
箴,jam1
簪,jam1
砧,jam1
怎,jam2
鴆,jam6
珍,jan1
真,jan1
胗,jan1
疹,jan2
軫,jan2
賑,jan3
鎮,jan3
振,jan3
圳,jan3
陣,jan6
崢,jang1
僧,jang1
增,jang1
錚,jang1
箏,jang1
睜,jang1
猙,jang1
贈,jang6
汁,jap1
質,jat1
疾,jat6
桎,jat6
蟄,jat6
嫉,jat6
蛭,jat6
周,jau1
州,jau1
週,jau1
洲,jau1
謅,jau1
鄒,jau1
舟,jau1
輈,jau1
諏,jau1
陬,jau1
肘,jau2
帚,jau2
酒,jau2
揍,jau3
晝,jau3
咒,jau3
皺,jau3
縐,jau3
奏,jau3
冑,jau6
袖,jau6
鷲,jau6
紂,jau6
宙,jau6
驟,jau6
岫,jau6
嗟,je1
姐,je2
者,je2
借,je3
柘,je3
這,je5
謝,je6
隻,jek3
鄭,jeng6
斫,jeuk3
爵,jeuk3
鵲,jeuk3
酌,jeuk3
嚼,jeuk3
勺,jeuk3
桌,jeuk3
嫜,jeung1
張,jeung1
鄣,jeung1
漳,jeung1
獐,jeung1
彰,jeung1
樟,jeung1
漿,jeung1
蟑,jeung1
章,jeung1
璋,jeung1
掌,jeung2
蔣,jeung2
槳,jeung2
漲,jeung2
幛,jeung3
帳,jeung3
賬,jeung3
嶂,jeung3
脹,jeung3
障,jeung3
瘴,jeung3
醬,jeung3
象,jeung6
杖,jeung6
匠,jeung6
橡,jeung6
像,jeung6
丈,jeung6
滋,ji1
茲,ji1
吱,ji1
輜,ji1
肢,ji1
芝,ji1
齜,ji1
蜘,ji1
脂,ji1
貲,ji1
資,ji1
鼒,ji1
淄,ji1
氏,ji1
支,ji1
枝,ji1
姿,ji1
孜,ji1
咨,ji1
諮,ji1
之,ji1
旨,ji2
秭,ji2
酯,ji2
趾,ji2
姊,ji2
咫,ji2
祉,ji2
梓,ji2
滓,ji2
籽,ji2
址,ji2
紫,ji2
子,ji2
止,ji2
只,ji2
指,ji2
芷,ji2
致,ji3
輊,ji3
緻,ji3
誌,ji3
置,ji3
摯,ji3
智,ji3
痣,ji3
躓,ji3
志,ji3
恣,ji3
伺,ji6
雉,ji6
痔,ji6
俟,ji6
祀,ji6
自,ji6
稚,ji6
飼,ji6
嗣,ji6
耜,ji6
巳,ji6
治,ji6
峙,ji6
豸,ji6
寺,ji6
鯽,jik1
職,jik1
稷,jik1
績,jik1
陟,jik1
即,jik1
跡,jik1
瘠,jik3
炙,jik3
脊,jik3
席,jik6
藉,jik6
值,jik6
直,jik6
植,jik6
殖,jik6
夕,jik6
籍,jik6
汐,jik6
矽,jik6
寂,jik6
蓆,jik6
霑,jim1
瞻,jim1
沾,jim1
尖,jim1
詹,jim1
譫,jim1
佔,jim3
漸,jim6
箋,jin1
煎,jin1
羶,jin1
氈,jin1
翦,jin2
碾,jin2
剪,jin2
輾,jin2
展,jin2
闡,jin2
餞,jin3
箭,jin3
戰,jin3
顫,jin3
濺,jin3
賤,jin6
菁,jing1
癥,jing1
偵,jing1
睛,jing1
貞,jing1
鉦,jing1
禎,jing1
晶,jing1
旌,jing1
徵,jing1
怔,jing1
征,jing1
烝,jing1
蒸,jing1
井,jing2
症,jing3
證,jing3
政,jing3
靖,jing6
靜,jing6
淨,jing6
阱,jing6
接,jip3
摺,jip3
囁,jip3
褶,jip3
浹,jip3
輒,jip3
楫,jip3
唧,jit1
櫛,jit3
婕,jit3
哲,jit3
癤,jit3
蜇,jit3
節,jit3
浙,jit3
捷,jit6
睫,jit6
截,jit6
礁,jiu1
椒,jiu1
焦,jiu1
招,jiu1
蕉,jiu1
沼,jiu2
剿,jiu2
詔,jiu3
召,jiu6
趙,jiu6
遭,jo1
租,jo1
糟,jo1
棗,jo2
祖,jo2
早,jo2
駔,jo2
藻,jo2
組,jo2
澡,jo2
蚤,jo2
灶,jo3
皂,jo6
做,jo6
慥,jo6
左,joh2
俎,joh2
佐,joh3
詛,joh3
座,joh6
唑,joh6
助,joh6
栽,joi1
哉,joi1
災,joi1
崽,joi2
宰,joi2
載,joi2
再,joi3
在,joi6
昨,jok3
鑿,jok6
擢,jok6
妝,jong1
樁,jong1
莊,jong1
髒,jong1
贓,jong1
壯,jong3
葬,jong3
撞,jong6
狀,jong6
臟,jong6
奘,jong6
豬,jue1
珠,jue1
茱,jue1
誅,jue1
株,jue1
銖,jue1
朱,jue1
諸,jue1
侏,jue1
蛛,jue1
煮,jue2
主,jue2
炷,jue3
蛀,jue3
註,jue3
注,jue3
駐,jue3
住,jue6
箸,jue6
專,juen1
顓,juen1
尊,juen1
磚,juen1
鱒,juen1
鐫,juen1
轉,juen2
纂,juen2
鑽,juen3
啜,juet3
拙,juet3
掇,juet3
輟,juet3
茁,juet3
絕,juet6
狙,jui1
錐,jui1
椎,jui1
追,jui1
蛆,jui1
沮,jui2
齟,jui2
醉,jui3
最,jui3
惴,jui3
贅,jui3
罪,jui6
漵,jui6
聚,jui6
嶼,jui6
墜,jui6
敘,jui6
序,jui6
綴,jui6
竺,juk1
矚,juk1
足,juk1
燭,juk1
祝,juk1
築,juk1
囑,juk1
軸,juk6
族,juk6
鐲,juk6
續,juk6
妯,juk6
俗,juk6
鏃,juk6
躅,juk6
逐,juk6
諄,jun1
榛,jun1
臻,jun1
津,jun1
遵,jun1
儘,jun2
准,jun2
隼,jun2
準,jun2
晉,jun3
進,jun3
竣,jun3
縉,jun3
駿,jun3
俊,jun3
峻,jun3
燼,jun6
盡,jun6
忠,jung1
鍾,jung1
棕,jung1
螽,jung1
盅,jung1
蹤,jung1
鬃,jung1
終,jung1
中,jung1
宗,jung1
衷,jung1
綜,jung1
種,jung2
腫,jung2
總,jung2
眾,jung3
誦,jung6
訟,jung6
頌,jung6
卒,jut1
黜,jut1
怵,jut1
卡,ka1
喀,ka1
髂,ka3
蒈,kaai2
鍇,kaai2
揢,kaak3
銬,kaau3
蹊,kai1
溪,kai1
稽,kai1
嵇,kai1
啟,kai2
襟,kam1
禽,kam4
琴,kam4
噙,kam4
妗,kam5
芹,kan4
勤,kan4
吸,kap1
給,kap1
汲,kap1
笈,kap1
級,kap1
歙,kap1
及,kap6
芨,kap6
摳,kau1
篝,kau1
釦,kau3
叩,kau3
扣,kau3
蔻,kau3
寇,kau3
媾,kau3
購,kau3
構,kau3
求,kau4
裘,kau4
毬,kau4
虯,kau4
犰,kau4
逑,kau4
球,kau4
臼,kau5
舅,kau5
茄,ke2
瘸,ke4
騎,ke4
崎,kei1
冀,kei3
暨,kei3
驥,kei3
鰭,kei4
旗,kei4
岐,kei4
棋,kei4
琪,kei4
旂,kei4
琦,kei4
歧,kei4
淇,kei4
祈,kei4
其,kei4
萁,kei4
麒,kei4
期,kei4
耆,kei4
祁,kei4
蘄,kei4
祺,kei4
劇,kek6
卻,keuk3
噱,keuk6
羥,keung5
黔,kim4
鉗,kim4
掮,kin4
虔,kin4
頃,king2
黥,king4
瓊,king4
擎,king4
鯨,king4
黠,kit3
頡,kit3
揭,kit3
鍥,kit3
詰,kit3
羯,kit3
竭,kit3
孑,kit3
擷,kit3
翹,kiu3
僑,kiu4
橋,kiu4
蕎,kiu4
喬,kiu4
鈣,koi3
慨,koi3
溉,koi3
概,koi3
愾,koi3
丐,koi3
欬,koi3
確,kok3
榷,kok3
郝,kok3
恪,kok3
慤,kok3
壑,kok3
涸,kok3
扛,kong1
伉,kong3
抗,kong3
閌,kong3
擴,kong3
亢,kong3
炕,kong3
箍,koo1
鱠,kooi2
潰,kooi2
獪,kooi2
聵,kooi2
繪,kooi2
膾,kooi2
賄,kooi2
劊,kooi2
檜,kooi2
澮,kooi2
鄶,kooi2
儈,kooi2
會,kooi2
括,koot3
聒,koot3
蛞,koot3
權,kuen4
蜷,kuen4
顴,kuen4
鬈,kuen4
厥,kuet3
孓,kuet3
獗,kuet3
決,kuet3
訣,kuet3
缺,kuet3
蹶,kuet3
蕨,kuet3
撅,kuet3
闕,kuet3
抉,kuet3
橛,kuet3
嶇,kui1
駒,kui1
軀,kui1
驅,kui1
祛,kui1
俱,kui1
區,kui1
拘,kui1
渠,kui4
瞿,kui4
蠼,kui4
衢,kui4
朐,kui4
璩,kui4
拒,kui5
距,kui5
麴,kuk1
穹,kung4
窮,kung4
邛,kung4
夸,kwa1
垮,kwa1
誇,kwa1
侉,kwa2
跨,kwa3
胯,kwa3
挎,kwa3
框,kwaang1
逛,kwaang3
規,kwai1
巋,kwai1
窺,kwai1
虧,kwai1
盔,kwai1
睽,kwai4
馗,kwai4
葵,kwai4
畦,kwai4
夔,kwai4
暌,kwai4
喹,kwai4
攜,kwai4
揆,kwai4
愧,kwai5
坤,kwan1
昆,kwan1
崑,kwan1
髡,kwan1
焜,kwan1
菌,kwan2
捆,kwan2
困,kwan3
睏,kwan3
窘,kwan3
群,kwan4
曠,kwong3
鄺,kwong3
礦,kwong3
狂,kwong4
喇,la1
啦,la1
癩,laai3
落,laai6
籟,laai6
婪,laam4
藍,laam4
嵐,laam4
襤,laam4
覽,laam5
濫,laam6
艦,laam6
纜,laam6
斕,laan4
蘭,laan4
欄,laan4
攔,laan4
闌,laan4
襴,laan4
瀾,laan4
懶,laan5
爛,laan6
砬,laap6
垃,laap6
立,laap6
蠟,laap6
臘,laap6
邋,laap6
辣,laat6
犂,lai4
犁,lai4
藜,lai4
蠡,lai4
醴,lai5
鱧,lai5
澧,lai5
禮,lai5
麗,lai6
蠣,lai6
例,lai6
礪,lai6
勵,lai6
儷,lai6
荔,lai6
肋,lak6
鰳,lak6
勒,lak6
啉,lam4
淋,lam4
琳,lam4
霖,lam4
臨,lam4
林,lam4
懍,lam5
凜,lam5
劉,lau4
婁,lau4
琉,lau4
瀏,lau4
榴,lau4
螻,lau4
硫,lau4
僂,lau4
髏,lau4
瘤,lau4
留,lau4
騮,lau4
柳,lau5
簍,lau5
溜,lau6
陋,lau6
餾,lau6
遛,lau6
鏤,lau6
蹓,lau6
哩,le1
咧,le1
璃,lei1
喱,lei1
罹,lei4
縭,lei4
梨,lei4
蜊,lei4
漓,lei4
鱺,lei4
離,lei4
釐,lei4
狸,lei4
籬,lei4
履,lei5
李,lei5
里,lei5
鯉,lei5
鋰,lei5
邐,lei5
娌,lei5
俚,lei5
蒞,lei6
俐,lei6
吏,lei6
痢,lei6
猁,lei6
莉,lei6
略,leuk6
掠,leuk6
兩,leung2
莨,leung4
粱,leung4
良,leung4
梁,leung4
涼,leung4
量,leung4
倆,leung5
魎,leung5
亮,leung6
輛,leung6
諒,leung6
踉,leung6
靂,lik1
櫪,lik1
礫,lik1
瀝,lik1
力,lik6
曆,lik6
歷,lik6
令,lim1
鐮,lim4
帘,lim4
簾,lim4
廉,lim4
殮,lim5
臉,lim5
斂,lim6
襝,lim6
鏈,lin4
連,lin4
憐,lin4
漣,lin4
蓮,lin4
輦,lin5
攆,lin5
煉,lin6
練,lin6
呤,ling4
櫺,ling4
翎,ling4
苓,ling4
羚,ling4
稜,ling4
綾,ling4
菱,ling4
零,ling4
鈴,ling4
靈,ling4
蛉,ling4
伶,ling4
陵,ling4
聆,ling4
齡,ling4
凌,ling4
囹,ling4
玲,ling4
鯪,ling4
領,ling5
嶺,ling5
愣,ling6
另,ling6
獵,lip6
鬣,lip6
列,lit6
裂,lit6
捩,lit6
烈,lit6
冽,lit6
撂,liu1
遼,liu4
僚,liu4
嘹,liu4
獠,liu4
寮,liu4
瞭,liu4
燎,liu4
療,liu4
聊,liu4
寥,liu4
鐐,liu4
繚,liu4
了,liu5
潦,liu5
尥,liu6
廖,liu6
嚕,lo1
爐,lo4
盧,lo4
顱,lo4
廬,lo4
勞,lo4
牢,lo4
癆,lo4
醪,lo4
蘆,lo4
轤,lo4
嘮,lo4
瀘,lo4
鱸,lo4
臚,lo4
擄,lo5
姥,lo5
老,lo5
魯,lo5
鹵,lo5
滷,lo5
櫓,lo5
虜,lo5
露,lo6
澇,lo6
鷺,lo6
賂,lo6
輅,lo6
潞,lo6
嫪,lo6
璐,lo6
路,lo6
旯,loh1
裸,loh2
蘿,loh4
鑼,loh4
邏,loh4
玀,loh4
崍,loi4
徠,loi4
淶,loi4
萊,loi4
來,loi4
賚,loi6
睞,loi6
耒,loi6
珞,lok3
鉻,lok3
酪,lok3
絡,lok3
餎,lok3
烙,lok3
洛,lok3
駱,lok3
樂,lok6
郎,long2
榔,long4
鋃,long4
廊,long4
螂,long4
瑯,long4
朗,long5
晾,long6
蒗,long6
閬,long6
戀,luen2
臠,luen2
欒,luen4
鸞,luen4
孿,luen4
巒,luen4
灤,luen4
亂,luen6
捋,luet3
劣,luet3
纍,lui4
雷,lui4
縲,lui4
嫘,lui4
羸,lui4
鐳,lui4
擂,lui4
閭,lui4
櫚,lui4
膂,lui5
旅,lui5
壘,lui5
呂,lui5
屢,lui5
累,lui5
裡,lui5
儡,lui5
磊,lui5
縷,lui5
鋁,lui5
侶,lui5
蕾,lui5
慮,lui6
戾,lui6
淚,lui6
濾,lui6
類,lui6
碌,luk1
麓,luk1
錄,luk6
六,luk6
氯,luk6
祿,luk6
綠,luk6
鹿,luk6
陸,luk6
漉,luk6
卵,lun2
淪,lun4
磷,lun4
麟,lun4
鄰,lun4
圇,lun4
侖,lun4
璘,lun4
遴,lun4
崙,lun4
倫,lun4
鱗,lun4
嶙,lun4
粼,lun4
論,lun4
掄,lun4
藺,lun6
躪,lun6
吝,lun6
瓏,lung4
曨,lung4
嚨,lung4
聾,lung4
蘢,lung4
矓,lung4
隆,lung4
龍,lung4
朧,lung4
壟,lung5
隴,lung5
攏,lung5
弄,lung6
溧,lut6
鷸,lut6
慄,lut6
傈,lut6
律,lut6
率,lut6
栗,lut6
篥,lut6
媽,ma1
嗎,ma1
嘛,ma3
麻,ma4
痲,ma4
蟆,ma4
馬,ma5
獁,ma5
瑪,ma5
螞,ma5
碼,ma5
罵,ma6
霾,maai4
蕒,maai5
買,maai5
邁,maai6
賣,maai6
慢,maan2
謾,maan4
鰻,maan4
蠻,maan4
饅,maan4
蔓,maan4
晚,maan5
漫,maan6
幔,maan6
萬,maan6
嫚,maan6
鏝,maan6
墁,maan6
縵,maan6
熳,maan6
曼,maan6
蜢,maang5
勐,maang5
錳,maang5
貓,maau1
茅,maau4
矛,maau4
鉚,maau5
卯,maau5
懋,maau6
貌,maau6
袤,maau6
醚,mai4
瞇,mai4
迷,mai4
謎,mai4
米,mai5
袂,mai6
万,mak6
麥,mak6
脈,mak6
默,mak6
驀,mak6
貘,mak6
陌,mak6
緡,man4
聞,man4
文,man4
玟,man4
紋,man4
雯,man4
民,man4
岷,man4
旻,man4
忞,man4
珉,man4
苠,man4
氓,man4
鰵,man5
抿,man5
憫,man5
刎,man5
閩,man5
閔,man5
吻,man5
泯,man5
敏,man5
黽,man5
愍,man5
湣,man5
澠,man5
汶,man6
問,man6
紊,man6
萌,mang4
勿,mat6
密,mat6
蜜,mat6
物,mat6
嘧,mat6
謐,mat6
哞,mau1
眸,mau4
牟,mau4
謀,mau4
繆,mau4
某,mau5
畝,mau5
牡,mau5
謬,mau6
貿,mau6
哶,me1
楣,mei4
嵋,mei4
靡,mei4
蘼,mei4
眉,mei4
微,mei4
薇,mei4
湄,mei4
麋,mei4
獼,mei4
瀰,mei4
鎂,mei5
美,mei5
娓,mei5
媺,mei5
魅,mei6
寐,mei6
媚,mei6
命,meng6
冪,mik6
汨,mik6
鼏,mik6
覓,mik6
棉,min4
綿,min4
眠,min4
靦,min5
免,min5
娩,min5
冕,min5
緬,min5
勉,min5
麵,min6
洺,ming4
鳴,ming4
溟,ming4
螟,ming4
冥,ming4
瞑,ming4
銘,ming4
暝,ming4
皿,ming5
酩,ming5
茗,ming5
滅,mit6
篾,mit6
衊,mit6
蔑,mit6
苗,miu4
描,miu4
渺,miu5
杳,miu5
秒,miu5
邈,miu5
藐,miu5
淼,miu5
緲,miu5
妙,miu6
廟,miu6
誣,mo4
蕪,mo4
無,mo4
毛,mo4
毋,mo4
膜,mo4
謨,mo4
摹,mo4
髦,mo4
巫,mo4
模,mo4
氂,mo4
姆,mo5
武,mo5
母,mo5
侮,mo5
鵡,mo5
舞,mo5
拇,mo5
嫵,mo5
婺,mo6
暮,mo6
冒,mo6
戊,mo6
鶩,mo6
瑁,mo6
務,mo6
耄,mo6
騖,mo6
慕,mo6
募,mo6
墓,mo6
摩,moh1
麼,moh1
魔,moh1
摸,moh2
磨,moh4
蘑,moh4
饃,moh4
剝,mok1
漠,mok6
幕,mok6
莫,mok6
寞,mok6
茫,mong4
忘,mong4
芒,mong4
忙,mong4
亡,mong4
鋩,mong4
莽,mong4
虻,mong4
罔,mong5
輞,mong5
魍,mong5
網,mong5
蟒,mong5
惘,mong5
妄,mong5
媒,mooi4
煤,mooi4
玫,mooi4
枚,mooi4
莓,mooi4
酶,mooi4
梅,mooi4
每,mooi5
鞔,moon4
瞞,moon4
們,moon4
捫,moon4
蟎,moon5
滿,moon5
悶,moon6
燜,moon6
沫,moot3
歿,moot6
末,moot6
沒,moot6
茉,moot6
靺,moot6
牧,muk6
睦,muk6
鉬,muk6
沐,muk6
穆,muk6
仫,muk6
苜,muk6
目,muk6
朦,mung4
曚,mung4
檬,mung4
濛,mung4
蠓,mung5
夢,mung6
哪,na1
娜,na4
拿,na4
南,na4
那,na5
乃,naai5
氖,naai5
鼐,naai5
男,naam4
楠,naam4
喃,naam4
腩,naam5
難,naan4
赧,naan5
納,naap6
吶,naap6
鈉,naap6
衲,naap6
捺,naat6
孬,naau1
鐃,naau4
錨,naau4
撓,naau4
橈,naau4
猱,naau4
